subtype,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8
LUAD,-13.457557371426,-1.18185836148238,2.39295704373469,-7.80851674791789,1.1653451381225,-4.88927830292379,0.906804708131597,-5.41778276209014
LUAD,-9.88363842879115,9.05092320259442,-2.18662304036735,0.224306197689976,5.26261881990309,-12.6450038655958,-9.33025730801928,-9.308959590484
LUSC,-9.06785315749742,-5.72258952011424,-9.62376677813505,-1.74932769025774,-2.06466926231881,-2.35823465469117,-0.780143335988093,-1.65850877286709
LUAD,-11.0453830243306,11.182756319286,-2.31338785017892,7.99844442833871,-9.73780902933497,22.0228736544573,-12.4540121681275,19.0264794542598
LUAD,-20.5003653155141,0.443349145465081,-3.23717286994627,-0.678696741699331,-5.24499331649045,1.52138586329462,-3.03041269134366,1.50019810282843
LUSC,12.166663019943,2.2079651833509,-4.38981289872906,-7.70073760593375,-0.411418667259304,-4.15114640997738,0.417482442032149,-2.25641148796257
LUSC,1.07990313823118,-6.88927224581997,9.03761705245093,-1.27157241581392,-7.76567269631764,-1.4745345656505,-2.10001070804423,9.05229208631883
LUAD,5.51287010172258,-15.6809644275114,-3.56293970145554,0.692380833127821,-3.12667356233714,9.21638998037777,11.7800003017903,-3.91156692829482
LUAD,2.49873001093921,2.39776466770646,1.15535732262117,-12.9254076848836,11.9343075713462,-10.6076986336076,3.84338885524116,8.90459549511346
LUAD,-12.1524552290332,-5.01031851523822,-6.84371386734803,-3.04598506875779,0.990432111072935,-1.91384498731547,-0.0536894289464516,-3.34535588207836
LUSC,9.28801891168259,-8.38418205915178,0.104557518787636,8.39025535837146,-5.54581899563322,-1.39261989800528,5.10227452659884,-3.73738717719721
LUAD,0.0128210811916299,20.6419745602526,7.14774312561861,-9.74741707997399,15.9426854896906,-10.9036302736767,0.405710412984813,-6.43254345159282
LUAD,-16.3094085083989,-0.714374243379859,1.68356192828997,-1.6140294374687,6.369118787386,10.6068976666211,2.43586923375848,-6.23218016024639
LUAD,6.86227085145555,-4.44226200048474,5.53831041055051,-6.38541838809626,3.48188487310436,1.4664249021428,5.39995627878443,1.28077094165776
LUAD,-24.5953245363332,3.58159175861279,10.614536674609,2.5643010309615,-0.156380055833529,-18.2188474579112,3.71238201529519,17.0452228508905
LUAD,-5.85349146258783,10.1568926491592,1.31093598418767,2.82329943399314,-3.89861126039081,5.0683657777932,-1.4641648481195,-9.42786494480035
LUSC,9.83520986729769,9.81441839125816,-2.25643098884323,3.09067031194482,-5.80152990340782,-2.06437742500186,2.86929153889049,-6.75461396037473
LUAD,-5.44468868470771,0.482910201137118,12.2187350786902,-11.701646763192,1.15099131604212,-2.26758773329383,1.89269134513577,1.9524174725902
SCLC,26.2863663389938,16.9252111404051,-8.14861619869664,-10.6256334865364,15.1285155089001,-12.4251703729408,5.04204243533943,27.4206186338321
LUSC,12.421939491181,-14.5260252000428,14.9642228094334,-12.1067944010829,-15.6619195740121,-5.21630412512683,6.49145798296627,-2.68963816132925
LUSC,-3.86905237962414,-7.85209845293225,-11.3996118868766,4.38062176117621,-2.52039404126277,-2.4123947407018,0.547545210470203,0.366311328775793
LUAD,-15.614090959124,-0.10486853042916,-1.42657404602921,-1.13486983227395,-2.63105431878292,-0.168516405505017,5.37474600334531,2.85982920409623
LUAD,-7.7024228943031,-2.93095326379727,1.90936938865417,2.15421096533183,4.46723041088845,7.20390199312453,0.823530652643126,3.41588477139599
LUAD,1.62966616753725,11.8536530523059,-8.82464344609849,18.2186196489571,20.0989437992897,26.531422549089,-11.6478071251922,0.350380360181287
LUAD,7.70813632165341,-1.86162978282714,5.49348142918321,-15.5683982321254,13.4317415468322,5.734525326597,4.43998496522692,-2.50867594740079
LUSC,-5.69857490488927,13.3183885184622,14.5313898257164,-9.43545079328964,5.05324565285836,-13.4159868452361,0.332020361922701,-8.40386976789563
LUSC,41.4294822983272,-20.7329484952702,3.49056085135974,6.09849339076103,-7.84575997597428,6.90141401026022,-8.83638434237832,-14.7312196452807
LUAD,10.3160579728584,-10.149479550975,-1.01062653336983,3.37250006657846,18.3577819395726,-9.63691569306157,1.4358677492808,10.2543568346752
LUAD,10.5725949132751,7.38137334709419,-6.23352569751141,-4.20149949334238,22.0015584921623,8.89623952934839,2.92797924654864,2.58859852611858
LUSC,3.57388398560876,-2.39084415248987,-5.65145468829866,-5.48995793761684,-1.47610732694194,2.14602377571077,-1.50310752525289,-3.14478599133261
LUSC,-9.70842585233049,-10.1714207752616,-1.87258137163798,-8.37990863905678,0.794758286836257,-6.49286343286166,-2.58160182778336,3.07201585714323
LUSC,-4.15364121388391,-2.16631135835393,-1.21071224779096,-0.537716109634776,0.456554452675257,0.0233392565332342,-3.17266618798446,2.88222049885252
LUSC,-9.88913422125653,-6.02802912120765,-5.65958437208139,-1.65992818708258,0.0477504575637584,-0.784462025008491,-1.25955902010617,1.2616730526929
LUSC,34.1498001094476,-18.2944006547066,0.402153348141541,15.3130064972455,2.84718709522517,-5.114916034683,-6.28245172133054,7.14953151743302
LUAD,-7.4214123665891,-1.44028554083081,-4.52985292810272,-4.28024681826549,0.204955741639376,1.82698684256306,4.78993944513848,-2.75301020710858
LUSC,-3.79496386273569,-7.38476417354112,-3.29802018832949,3.34951850449345,-5.10235410603407,2.64683274507573,1.52401513287157,2.63906230617616
SCLC,13.3300393109764,6.522475135628,-20.4377423443004,-5.13551132670276,-21.8681702496747,-3.97852840319007,-17.7196610793915,24.4131438344131
LUAD,-14.0049804221981,-2.30196037432146,1.03131290462057,0.662402965790712,-3.48968796169614,-3.50137471617849,4.15938263489308,-1.2329716508684
LUAD,-12.2674886510058,-6.64919271814103,-0.898735249754553,-5.18066577474018,-2.71297408019206,1.11192326634777,1.63177619502892,-1.45562491242337
LUAD,-12.0836950588497,0.449575450276063,13.4001406360933,-1.83413232159848,0.251337926922288,0.735634299150926,-1.09121747267817,1.12831043804581
LUAD,-11.5643741013939,3.80641117034182,4.93428079744525,6.45448038479292,-5.76988867284562,-3.0952873298149,-1.52285762236889,3.04166906377652
LUAD,-7.57404846568272,-0.884926874647549,1.42232646530194,-3.69992623336039,10.0290487405956,-4.52955265804606,-0.672122771583034,-6.1990734380641
LUAD,-7.97883354154197,-9.28073015416798,4.83917650746913,2.73727311620027,7.10762943024418,4.59878570574285,-8.86185678027813,-2.96802464966636
LUSC,0.804077280240553,-11.4144798199367,-5.49296795860026,-0.192192234850114,-7.54926270151761,-7.77629532743323,3.49100854953042,0.553905310791889
LUAD,2.12108119248756,16.8828407126986,31.3061065591316,-5.79325890123255,11.3991737654168,4.82313524433631,-5.84515692463544,1.05309663543378
LUSC,48.1153310340486,4.44985738891339,-1.68620950236425,-21.8542269754289,-2.12748629082555,11.2111133936699,9.7117277656678,15.1242733008042
LUAD,-13.717232234462,-1.35795896597931,10.3762741406179,2.51266921191429,-12.4252641940868,3.6765943468572,2.72212949868325,-0.0345499789807378
LUSC,20.8024565162196,-7.12123868860301,-1.5320143608618,15.8941187252604,-6.55607479645091,-2.54938174305293,10.3898996535169,0.766836536636667
LUAD,17.9073579403867,-19.5558268287569,-4.39204421139415,-3.03720646079068,13.840385026894,9.59001288741753,7.06978848080099,6.17817918213577
LUSC,-8.81350729492862,-8.46551170250696,-7.37821424151793,-2.65045288873919,-2.42512419811211,-1.38111030296276,0.182077080769754,0.254600049209802
LUSC,13.8739841661546,-14.3700591461174,7.32227494692488,-2.81956376512805,-6.03721909323393,-5.5890910265098,6.74811923525617,1.30288795511441
LUSC,-7.53885008559336,0.357016614742245,-1.35712265624714,-7.81723560684,7.93115861673063,-3.21416788596443,-2.70177620911484,-2.06195581260336
LUAD,-10.2060968074416,-3.79774681941177,-0.745483599231704,2.36296655916932,-4.47694035010989,5.02075460898648,-5.0302716340956,-2.02690812256538
LUAD,-1.18616229398341,2.61210481469325,-1.5119216151214,3.58940874172765,-3.56901262857105,2.10435092425697,9.12205577818756,-3.18538820589471
LUSC,-11.2376316230849,13.8044034721451,10.8698682016074,-11.4472006489733,3.00174873918891,19.5927239382342,-1.37634089431697,-14.8199775532259
LUAD,1.67435356893762,17.5701885241543,19.5638321017043,-4.57780175210303,3.68360981839586,1.44270598120099,-7.7499366292035,8.85701395439543
LUSC,4.05005387079675,3.35795148760206,9.12649580859508,-7.89778824301616,5.12427831851206,4.1313620432696,1.59669650482918,-9.04395104312059
LUAD,-19.9623071027571,-0.19074486752688,7.26183213949429,-7.70758548970967,1.51780308919459,-7.71675649584884,-2.58376668923396,-1.41161630600226
LUAD,-23.064927336816,-2.66711725553473,-4.89092032251547,3.42627801397697,-0.745162708572307,0.448463904996527,-4.8520474692058,-0.873679463458977
LUAD,-1.38970047231512,-5.78591554951493,6.37180396364703,-2.00092129207487,-5.40995279023584,11.0208568235478,9.34048817870512,-3.8784462558479
LUAD,-0.985939832712797,10.7616274043107,1.25141537416912,2.05557743595176,6.09723114352306,7.94851815996054,10.0751626325578,-0.638742329994768
LUSC,-7.96470772081107,-4.31794836482589,-7.60861349127409,-0.79379708943087,0.466987081607468,1.11333967142751,-0.255131110432749,-3.24567019364787
LUAD,-17.7675270216056,1.81622240221799,-4.92345871829526,0.544768081088128,-3.43787857522811,8.76564622214585,-1.15222284434959,-2.50632755235638
LUSC,-8.91882728510648,-3.1793859590148,-5.8148427560467,-2.31310316414602,0.440715088196361,0.847444752610119,-0.594648697274592,-4.67909114137719
LUAD,-25.4094856673329,11.0390371771366,-1.03955893661908,18.3672988025125,5.55031621014717,7.91245248452252,-0.571771262808769,-4.54596421794006
LUSC,17.2992113633865,-0.775179434491139,-3.69073914317898,-3.43614166484509,4.41262394972736,-4.86833027289949,4.96706128535146,1.2491289557849
LUAD,5.60745712591793,15.0834157721979,16.8402651580429,4.71955263882424,13.8837052452113,-7.67684409740041,-4.57479928430995,-4.45556501311389
LUSC,7.76288033448502,7.54253574241407,6.67697975243712,-1.29931457843821,5.29987984318886,-7.11171603035128,12.8392495418398,22.7526662578516
LUAD,-16.6507530356291,-4.52082473002329,-7.78125025205909,-3.57256122206881,-0.296754936726148,-2.03538272972626,-2.05834320293978,-2.62540892640044
LUSC,28.8248997769877,6.69060286484419,11.8192735447985,-2.84798256404137,-7.8572212525092,-0.148768785186671,0.40254398198943,-1.7406056757816
LUSC,9.87633383604764,0.135972780198571,5.79159630306297,-6.24416163078072,3.3125034576499,4.81936540886377,0.772523690780852,-9.03954238906503
